Date,Open,High,Low,Close,Volume,Adj Close
2012-02-10,12889.55,12889.55,12712.26,12801.23,3877580000,12801.23
2012-02-09,12884.41,12978.18,12820.68,12890.46,4209890000,12890.46
2012-02-08,12865.94,12947.37,12789.20,12883.95,4096730000,12883.95
2012-02-07,12844.44,12931.10,12753.40,12878.20,3742460000,12878.20
2012-02-06,12860.79,12888.80,12755.97,12845.13,3379700000,12845.13
2012-02-03,12705.11,12917.14,12705.11,12862.23,4608550000,12862.23
2012-02-02,12716.54,12785.49,12650.24,12705.41,4120920000,12705.41
2012-02-01,12632.76,12826.51,12632.76,12716.46,4504360000,12716.46
2012-01-31,12654.78,12756.05,12542.85,12632.91,4235550000,12632.91
2012-01-30,12659.32,12679.83,12492.18,12653.72,3659010000,12653.72
2012-01-27,12733.72,12749.24,12591.21,12660.46,3860430000,12660.46
2012-01-26,12757.48,12884.63,12679.00,12734.63,4522070000,12734.63
2012-01-25,12673.78,12794.95,12537.25,12756.96,4410910000,12756.96
2012-01-24,12708.44,12753.02,12551.78,12675.75,3693560000,12675.75
2012-01-23,12720.17,12806.98,12620.20,12708.82,3770910000,12708.82
2012-01-20,12623.83,12763.84,12568.35,12720.48,3912620000,12720.48
2012-01-19,12578.19,12678.62,12518.48,12623.98,4465890000,12623.98
2012-01-18,12474.77,12607.71,12424.33,12578.95,4096160000,12578.95
2012-01-17,12423.12,12607.44,12423.12,12482.07,4010490000,12482.07
2012-01-13,12469.96,12469.96,12288.44,12422.06,3692370000,12422.06
2012-01-12,12449.98,12526.76,12354.36,12471.02,4019890000,12471.02
2012-01-11,12459.44,12503.87,12345.24,12449.45,3968120000,12449.45
2012-01-10,12394.51,12554.80,12394.51,12462.47,4221960000,12462.47
2012-01-09,12360.15,12445.71,12305.16,12392.69,3371600000,12392.69
2012-01-06,12407.75,12457.78,12305.20,12359.92,3656830000,12359.92
2012-01-05,12418.35,12465.42,12238.90,12415.70,4315950000,12415.70
2012-01-04,12392.39,12474.88,12291.35,12418.42,3592580000,12418.42
2012-01-03,12221.19,12534.26,12221.19,12397.38,3943710000,12397.38
2011-12-30,12286.28,12313.30,12190.20,12217.56,2271850000,12217.56
2011-12-29,12152.32,12302.40,12152.32,12287.04,2278130000,12287.04
2011-12-28,12288.85,12312.62,12126.70,12151.41,2349980000,12151.41
2011-12-27,12293.47,12357.38,12241.55,12291.35,2130590000,12291.35
2011-12-23,12169.88,12310.16,12151.72,12294.00,2233830000,12294.00
2011-12-22,12107.59,12225.70,12065.74,12169.65,3492250000,12169.65
2011-12-21,12103.28,12180.55,11963.76,12107.74,3582780000,12107.74
2011-12-20,11769.14,12131.81,11769.14,12103.58,4055590000,12103.58
2011-12-19,11866.62,11961.71,11728.46,11766.26,3659820000,11766.26
2011-12-16,11870.17,12018.55,11791.31,11866.39,5345800000,11866.39
2011-12-15,11825.37,12001.71,11815.11,11868.81,3810340000,11868.81
2011-12-14,11949.79,11984.15,11753.77,11823.48,4298290000,11823.48
2011-12-13,12018.66,12187.10,11894.96,11954.94,4121570000,11954.94
2011-12-12,12181.08,12181.08,11914.98,12021.39,3600570000,12021.39
2011-12-09,11995.88,12230.65,11995.88,12184.26,3830610000,12184.26
2011-12-08,12195.91,12212.26,11963.11,11997.70,4298370000,11997.70
2011-12-07,12144.41,12266.30,12024.19,12196.37,4160540000,12196.37
2011-12-06,12097.75,12232.02,12046.93,12150.13,3734230000,12150.13
2011-12-05,12021.46,12234.51,12020.78,12097.83,4148060000,12097.83
2011-12-02,12022.37,12191.60,11972.12,12019.42,4144310000,12019.42
2011-12-01,12046.21,12122.58,11916.38,12020.03,3818680000,12020.03
