Date	PrOpen	PrHigh	PrLow	PrClose	PrVol	BuySell	Delta	SMA_2	SMA_3	SMA_4	SMA_5	SMA_6	SMA_7	SMA_8	SMA_9	SMA_10	SMA_11	SMA_12	SMA_13	SMA_14	SMA_15	SMA_16	SMA_17	SMA_18	SMA_19	SMA_20
2011-01-03																										
2011-01-04	1.157743	1.17509	1.157743	1.167075	4.28667	BUY	20.43	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075	1.167075
2011-01-05	1.16709	1.176694	1.158299	1.169118	4.79642	BUY	31.71	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097	1.168097
2011-01-06	1.168876	1.177572	1.161029	1.172289	4.76492	SELL	-25.58	1.170704	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494	1.169494
2011-01-07	1.171693	1.179578	1.161531	1.169731	4.8441	SELL	-22.55	1.17101	1.170379	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553	1.169553
2011-01-10	1.169686	1.176149	1.157864	1.167476	4.96311	SELL	-37.31	1.168604	1.169832	1.169654	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138	1.169138
2011-01-11	1.167234	1.169833	1.154587	1.163745	4.03645	BUY	34.43	1.165611	1.166984	1.16831	1.168472	1.168239	1.168239	1.168239	1.168239	1.168239	1.168239	1.168239	1.168239	1.168239	1.168239	1.168239	1.168239	1.168239	1.168239	1.168239
2011-01-12	1.163851	1.175657	1.160157	1.167188	4.05075	BUY	83.56	1.165467	1.166136	1.167035	1.168086	1.168258	1.168089	1.168089	1.168089	1.168089	1.168089	1.168089	1.168089	1.168089	1.168089	1.168089	1.168089	1.168089	1.168089	1.168089
2011-01-13	1.167362	1.181455	1.167362	1.175544	4.22694	SELL	-23.54	1.171366	1.168826	1.168488	1.168737	1.169329	1.169299	1.169021	1.169021	1.169021	1.169021	1.169021	1.169021	1.169021	1.169021	1.169021	1.169021	1.169021	1.169021	1.169021
2011-01-14	1.17537	1.180319	1.166632	1.17319	4.31084	BUY	55.48	1.174367	1.171974	1.169917	1.169429	1.169479	1.16988	1.169785	1.169484	1.169484	1.169484	1.169484	1.169484	1.169484	1.169484	1.169484	1.169484	1.169484	1.169484	1.169484
2011-01-18	1.17322	1.182711	1.165841	1.178738	4.66159	BUY	50.55	1.175964	1.175824	1.173665	1.171681	1.17098	1.170802	1.170988	1.17078	1.170409	1.170409	1.170409	1.170409	1.170409	1.170409	1.170409	1.170409	1.170409	1.170409	1.170409
2011-01-19	1.178382	1.190923	1.174083	1.183793	5.28499	SELL	-12.64	1.181266	1.178574	1.177816	1.175691	1.1737	1.172811	1.172426	1.17241	1.172081	1.171626	1.171626	1.171626	1.171626	1.171626	1.171626	1.171626	1.171626	1.171626	1.171626
2011-01-20	1.183421	1.192292	1.174636	1.182529	4.74371	SELL	-2.49	1.183161	1.181687	1.179563	1.178759	1.17683	1.174961	1.174025	1.173548	1.173422	1.173031	1.172535	1.172535	1.172535	1.172535	1.172535	1.172535	1.172535	1.172535	1.172535
2011-01-21	1.18237	1.189015	1.170068	1.18228	4.93532	BUY	49.04	1.182405	1.182867	1.181835	1.180106	1.179346	1.177609	1.175876	1.174943	1.174421	1.174228	1.173802	1.173284	1.173284	1.173284	1.173284	1.173284	1.173284	1.173284	1.173284
2011-01-24	1.182476	1.196031	1.180297	1.187184	4.93532	BUY	108.68	1.184732	1.183998	1.183947	1.182905	1.181286	1.180465	1.178806	1.177132	1.176167	1.175582	1.175307	1.174831	1.174277	1.174277	1.174277	1.174277	1.174277	1.174277	1.174277
2011-01-25	1.18735	1.202124	1.182658	1.198052	3.90247	SELL	-3.33	1.192618	1.189172	1.187511	1.186768	1.185429	1.183681	1.182664	1.180944	1.179224	1.178156	1.177454	1.177057	1.17649	1.175862	1.175862	1.175862	1.175862	1.175862	1.175862
